segment,value,n,wape,mase,bias,interval_coverage
upc,1111009477,876,0.2720057204147301,1.2570772170338331,-0.038231438445953995,0.8858447488584474
upc,1111009497,895,0.33134205376454834,1.2955152311224356,-0.06196999347684279,0.9005586592178771
upc,1111009507,947,0.6918213613128867,1.6347292177795607,0.49556093623890235,0.9039070749736009
upc,1111035398,1169,0.5578142076502732,1.274286947467001,-0.13901639344262295,0.8862275449101796
upc,1111038078,599,0.4846301633045149,1.2524869575683286,-0.16810758885686838,0.8764607679465777
upc,1111038080,542,0.6062263357172907,1.024950439650759,0.1745898190997055,0.9169741697416974
upc,1111085319,1294,0.36439312567132115,1.1658236716441828,-0.15037593984962405,0.8879443585780525
upc,1111085345,1299,0.314892360551887,1.0248970832487332,-0.021178933805765823,0.8991531947652041
upc,1111085350,1029,0.3057872340425532,1.3037239470901232,-0.09852482269503546,0.8367346938775511
upc,1111087395,878,0.6060687073920599,1.233319948522543,0.1342066568640556,0.9043280182232346
upc,1111087396,853,0.5857516339869281,1.1574701750115164,0.12588235294117647,0.9003516998827668
upc,1111087398,875,0.6439965376530233,1.2535187864825335,0.22233213799925808,0.9085714285714286
upc,1600027527,1483,0.3288874962535081,1.5159364852389172,-0.026170949020462658,0.8401888064733648
upc,1600027528,1462,0.3119369704177196,0.9925601869155813,-0.016887171101531144,0.8905608755129959
upc,1600027564,721,0.3035727174305305,1.4161672952643856,-0.15438469866474197,0.8363384188626907
upc,2066200530,572,0.5609498680738786,1.4151249768129341,-0.2654353562005277,0.8741258741258742
upc,2066200531,408,0.5631138595853038,1.3023673281112573,-0.2168061113132048,0.8897058823529411
upc,2066200532,246,0.5859872611464968,1.3546686445440892,-0.35828025477707004,0.8943089430894309
upc,2840002333,798,0.571527537235885,1.1333658583965518,0.25251125736058194,0.9072681704260651
upc,2840004768,1076,0.4952571143285072,1.2881801031154476,0.18372441337993012,0.8866171003717472
upc,2840004770,1029,0.516955098222638,1.1411967411823043,0.23538353601496725,0.902818270165209
upc,3000006340,701,0.7550617283950617,1.2619392996134702,0.5259259259259259,0.8958630527817404
upc,3000006560,872,0.5098823669911029,1.3472915569566857,0.2023646026153938,0.8130733944954128
upc,3000006610,862,0.5068217596641595,1.3300563120985114,0.024750743396886477,0.8213457076566125
upc,3500068914,2,0.0,0.0,0.0,1.0
upc,3700019521,208,0.6741803278688525,0.9323794655113352,0.15778688524590165,0.8846153846153846
upc,3700031613,1054,0.5049435028248588,1.0632906958968913,-0.1504237288135593,0.905123339658444
upc,3700044982,337,0.6788990825688074,1.1784377137494515,0.12420606916019761,0.8427299703264095
upc,3800031829,1178,0.36683239681092056,1.2962010805844557,-0.08128622282368862,0.8794567062818336
upc,3800031838,1218,0.33638869907396496,1.404823901699322,-0.1891656259572563,0.8661740558292282
